loan_id,num__no_of_dependents,num__income_annum,num__loan_amount,num__loan_term,num__cibil_score,num__residential_assets_value,num__commercial_assets_value,num__luxury_assets_value,num__bank_asset_value,num__all_assets,num__income_per_person,num__debt_income_ratio,num__debt_assets_ratio,num__amount_term_ratio,cat__education_ Not Graduate,cat__self_employed_ Yes
2369,5,6400000,22300000,12,776,500000.0,9100000,24100000,5800000,33700000,1066666.6666666667,3.4843744555664915,0.6617210486136187,1715384.6153846155,1.0,0.0
385,1,400000,1300000,6,695,200000.0,500000,800000,100000,1500000,200000.0,3.2499918750203123,0.8666660888892741,185714.2857142857,1.0,0.0
16,5,4700000,10700000,10,794,5700000.0,3900000,16400000,4400000,26000000,783333.3333333334,2.2765952602988806,0.41153844571005976,972727.2727272727,1.0,0.0
3940,5,4200000,12500000,18,723,1200000.0,300000,12900000,6100000,14400000,700000.0,2.9761897675738647,0.8680554952739239,657894.7368421053,0.0,0.0
3816,0,9500000,32000000,2,500,8300000.0,9700000,24500000,5600000,42500000,9500000.0,3.368420698060979,0.7529411587543257,10666666.666666666,1.0,1.0
2672,0,3800000,14900000,6,899,7800000.0,600000,12400000,2800000,20800000,3800000.0,3.9210515997232633,0.7163461194064366,2128571.4285714286,1.0,1.0
351,3,6700000,15800000,4,445,10500000.0,7600000,14100000,9100000,32200000,1675000.0,2.3582086032524474,0.4906832145750554,3160000.0,1.0,1.0
2075,3,8300000,17200000,8,870,4700000.0,8800000,18300000,10000000,31800000,2075000.0,2.0722889069531436,0.5408804861358337,1911111.111111111,0.0,0.0
2031,1,1900000,6000000,20,540,1100000.0,1400000,4300000,1300000,6800000,950000.0,3.1578930747931184,0.8823528114187043,285714.28571428574,0.0,0.0
231,1,4000000,10900000,14,598,3600000.0,6600000,13600000,4400000,23800000,2000000.0,2.72499931875017,0.45798317403432043,726666.6666666666,0.0,1.0
2563,0,3700000,13100000,14,385,10600000.0,6800000,9200000,4900000,26600000,3700000.0,3.5405395836379503,0.49248118449318856,873333.3333333334,1.0,1.0
2536,1,1600000,4500000,14,673,1900000.0,2700000,3700000,1300000,8300000,800000.0,2.8124982421885987,0.542168609377276,300000.0,0.0,0.0
595,2,4400000,12500000,18,492,7900000.0,1200000,10100000,2700000,19200000,1466666.6666666667,2.840908445248081,0.6510416327582483,657894.7368421053,0.0,0.0
2302,4,600000,1600000,6,784,300000.0,100000,1900000,500000,2300000,120000.0,2.6666622222296295,0.6956518714557081,228571.42857142858,1.0,0.0
2128,4,3400000,8300000,2,567,5700000.0,1900000,10200000,2700000,17800000,680000.0,2.441175752595367,0.4662921086352748,2766666.6666666665,0.0,0.0
2004,0,6600000,13700000,20,747,3600000.0,2400000,23900000,6000000,29900000,6600000.0,2.0757572612488997,0.4581939646088975,652380.9523809524,0.0,0.0
2605,1,5900000,13000000,6,779,10800000.0,11600000,13100000,6600000,35500000,2950000.0,2.2033894570526344,0.3661971727831782,1857142.857142857,1.0,0.0
3803,5,9000000,21300000,14,602,3400000.0,7700000,35400000,11000000,46500000,1500000.0,2.366666403703733,0.4580645062781827,1420000.0,0.0,0.0
929,1,4000000,15600000,12,436,10400000.0,2800000,14800000,3200000,28000000,2000000.0,3.899999025000244,0.5571428372448987,1200000.0,1.0,1.0
4002,5,9200000,28000000,8,527,18700000.0,7700000,24400000,6400000,50800000,1533333.3333333333,3.043477930056747,0.5511810915121832,3111111.111111111,1.0,0.0
2172,5,5900000,13800000,14,397,12400000.0,600000,20400000,3000000,33400000,983333.3333333334,2.3389826544097194,0.4131736403241425,920000.0,0.0,0.0
4112,4,9700000,31700000,10,342,700000.0,100000,36700000,12000000,37500000,1940000.0,3.268040900201969,0.8453333107911117,2881818.1818181816,1.0,0.0
1797,3,2300000,6800000,10,418,2800000.0,2700000,6300000,1400000,11800000,575000.0,2.956520453686759,0.5762711376041408,618181.8181818182,0.0,0.0
2383,3,8700000,33600000,14,314,7700000.0,10000000,21700000,6200000,39400000,2175000.0,3.8620685216013193,0.8527918565281255,2240000.0,0.0,1.0
2906,5,1100000,2800000,14,473,100000.0,500000,4200000,700000,4800000,183333.33333333334,2.5454522314070624,0.5833332118055808,186666.66666666666,0.0,0.0
2363,3,6100000,21600000,16,428,2900000.0,6100000,15100000,7200000,24100000,1525000.0,3.5409830260683566,0.8962655229765343,1270588.2352941176,0.0,1.0
3879,2,5600000,16700000,14,856,400000.0,10200000,14700000,5200000,25300000,1866666.6666666667,2.982142324617442,0.6600790252933192,1113333.3333333333,1.0,1.0
129,2,700000,2600000,12,429,1600000.0,1300000,2700000,800000,5600000,233333.33333333334,3.7142804081708456,0.46428563137756584,200000.0,1.0,1.0
3148,5,4100000,11100000,18,756,1700000.0,3000000,10800000,3000000,15500000,683333.3333333334,2.7073164128496554,0.7161289860561945,584210.5263157894,1.0,1.0
66,1,4100000,10300000,12,364,9500000.0,6100000,14900000,2800000,30500000,2050000.0,2.5121945092208513,0.3377049069604949,792307.6923076923,0.0,0.0
1427,2,1500000,3300000,18,440,800000.0,2300000,3000000,1800000,6100000,500000.0,2.1999985333343113,0.5409835178715544,173684.2105263158,0.0,0.0
544,3,1400000,2700000,8,625,3100000.0,1800000,3400000,1000000,8300000,350000.0,1.9285700510213921,0.3253011656263656,300000.0,1.0,0.0
1400,0,4800000,15100000,6,848,1300000.0,300000,18800000,3500000,20400000,4800000.0,3.1458326779515255,0.7401960421472529,2157142.8571428573,0.0,0.0
347,5,8000000,28000000,10,449,18500000.0,1500000,17400000,3900000,37400000,1333333.3333333333,3.499999562500055,0.7486630815865486,2545454.5454545454,0.0,1.0
3400,5,5100000,13700000,14,527,12100000.0,8900000,19400000,4700000,40400000,850000.0,2.6862739830835327,0.3391089024973044,913333.3333333334,1.0,1.0
2596,1,8000000,30600000,14,302,12700000.0,13100000,23900000,6800000,49700000,4000000.0,3.8249995218750596,0.6156941526017273,2040000.0,0.0,1.0
3491,1,4700000,15700000,4,468,13300000.0,5100000,16200000,3600000,34600000,2350000.0,3.3404248211862084,0.4537572123191557,3140000.0,0.0,0.0
3129,1,500000,1700000,18,617,400000.0,100000,1400000,500000,1900000,250000.0,3.3999932000136,0.8947363711913836,89473.68421052632,1.0,1.0
2223,1,8600000,26700000,10,735,11800000.0,9100000,20700000,11200000,41600000,4300000.0,3.1046508017847905,0.6418269076483917,2427272.727272727,0.0,0.0
2138,5,1800000,5400000,14,347,3800000.0,1300000,4900000,1700000,10000000,300000.0,2.9999983333342595,0.5399999460000054,360000.0,1.0,0.0
491,3,2900000,8500000,14,834,1200000.0,4500000,8800000,1800000,14500000,725000.0,2.9310334720574236,0.5862068561236651,566666.6666666666,1.0,0.0
2829,4,9200000,18600000,2,889,26900000.0,4200000,33300000,9700000,64400000,1840000.0,2.0217389106805532,0.2888198712916169,6200000.0,0.0,1.0
959,0,2200000,8000000,14,335,2800000.0,3700000,6900000,2900000,13400000,2200000.0,3.6363619834718257,0.597014880819785,533333.3333333334,1.0,1.0
1196,3,7000000,19200000,4,768,8600000.0,13700000,19200000,7700000,41500000,1750000.0,2.7428567510204642,0.46265059126143154,3840000.0,1.0,1.0
445,1,3600000,10300000,12,536,6800000.0,500000,12200000,2700000,19500000,1800000.0,2.8611103163582454,0.5282051011176871,792307.6923076923,1.0,1.0
3105,2,6400000,19300000,6,414,7200000.0,1800000,19100000,3900000,28100000,2133333.3333333335,3.0156245288086674,0.6868327157710777,2757142.8571428573,1.0,1.0
1985,2,6100000,15500000,8,758,8900000.0,4000000,13300000,7200000,26200000,2033333.3333333333,2.5409831900027555,0.5916030308548461,1722222.2222222222,0.0,1.0
3556,4,3200000,11600000,6,635,3300000.0,4600000,6500000,3900000,14400000,640000.0,3.624998867187854,0.8055554996142014,1657142.857142857,0.0,0.0
2580,0,3800000,10600000,12,490,3300000.0,6500000,14400000,3100000,24200000,3800000.0,2.7894729501386974,0.43801651082576404,815384.6153846154,1.0,1.0
2327,5,8000000,21500000,12,779,2600000.0,15100000,29800000,10400000,47500000,1333333.3333333333,2.687499664062542,0.45263156941828275,1653846.1538461538,0.0,1.0
594,4,600000,1800000,6,851,100000.0,1100000,2100000,800000,3300000,120000.0,2.9999950000083335,0.5454543801653393,257142.85714285713,0.0,0.0
2782,1,3800000,10000000,16,873,5100000.0,2800000,10300000,4000000,18200000,1900000.0,2.6315782548478275,0.5494505192609604,588235.2941176471,0.0,1.0
559,1,5700000,12000000,4,415,15700000.0,900000,17300000,7400000,33900000,2850000.0,2.105262788550388,0.3539822904430003,2400000.0,0.0,1.0
116,0,3300000,10800000,12,797,600000.0,6000000,7700000,3300000,14300000,3300000.0,3.272726280992036,0.7552447024304404,830769.2307692308,1.0,1.0
2186,2,9200000,25300000,4,827,25900000.0,15900000,19300000,11000000,61100000,3066666.6666666665,2.749999701086989,0.41407527963870244,5060000.0,0.0,1.0
323,4,4900000,17100000,6,612,1300000.0,7000000,19500000,5000000,27800000,980000.0,3.4897952061642434,0.6151078915428816,2442857.1428571427,0.0,1.0
3004,3,4300000,12800000,16,346,3300000.0,1100000,11900000,3800000,16300000,1075000.0,2.976743493780583,0.7852760254431886,752941.1764705882,0.0,1.0
382,0,5300000,17900000,6,678,4700000.0,3900000,14400000,3600000,23000000,5300000.0,3.3773578533287067,0.7782608357277897,2557142.8571428573,0.0,0.0
2490,1,800000,2800000,16,726,2000000.0,1300000,3100000,1200000,6400000,400000.0,3.499995625005469,0.43749993164063566,164705.88235294117,1.0,1.0
394,1,1400000,5200000,12,730,2900000.0,0,3700000,700000,6600000,700000.0,3.714283061226385,0.7878786685032321,400000.0,0.0,0.0
3842,5,1700000,6500000,14,587,1100000.0,1000000,6400000,1500000,8500000,283333.3333333333,3.823527162631081,0.7647057923875539,433333.3333333333,0.0,1.0
189,5,7300000,23300000,6,622,7100000.0,11600000,26400000,10500000,45100000,1216666.6666666667,3.1917803846876187,0.5166297002964589,3328571.4285714286,1.0,1.0
414,1,4100000,8400000,20,608,1400000.0,8000000,10000000,4400000,19400000,2050000.0,2.0487799881024418,0.4329896684025944,400000.0,0.0,0.0
3975,0,500000,1300000,4,825,600000.0,0,1800000,200000,2400000,500000.0,2.5999948000104,0.5416664409723163,260000.0,0.0,1.0
198,2,2800000,6000000,18,816,6300000.0,4200000,8000000,3400000,18500000,933333.3333333334,2.142856377551294,0.3243243067932807,315789.4736842105,1.0,0.0
2308,5,6700000,17600000,14,843,12700000.0,200000,19500000,5600000,32400000,1116666.6666666667,2.626865279572346,0.5432098597774735,1173333.3333333333,1.0,1.0
110,2,3300000,6800000,14,317,3400000.0,300000,11700000,3600000,15400000,1100000.0,2.060605436180171,0.4415584128858173,453333.3333333333,0.0,0.0
3722,5,500000,1500000,4,476,200000.0,200000,1100000,700000,1500000,83333.33333333333,2.999994000012,0.9999993333337778,300000.0,0.0,1.0
798,1,4600000,18400000,10,403,200000.0,8800000,17300000,2900000,26300000,2300000.0,3.9999991304349716,0.6996197452616066,1672727.2727272727,1.0,1.0
2795,3,5800000,17600000,6,720,4900000.0,4200000,18800000,6600000,27900000,1450000.0,3.0344822354340972,0.6308243501496649,2514285.714285714,0.0,1.0
567,2,2800000,5900000,6,895,1000000.0,3900000,10900000,1500000,15800000,933333.3333333334,2.1071421045921057,0.3734176978849558,842857.1428571428,1.0,0.0
1741,4,1100000,2500000,4,603,1900000.0,1400000,3900000,500000,7200000,220000.0,2.2727252066134485,0.3472221739969203,500000.0,1.0,0.0
2083,5,2400000,8900000,2,745,1700000.0,2000000,9200000,2100000,12900000,400000.0,3.708331788195088,0.6899224271377964,2966666.6666666665,0.0,1.0
3931,4,9700000,26900000,10,460,11400000.0,3900000,31400000,9300000,46700000,1940000.0,2.773195590392207,0.5760171182865713,2445454.5454545454,0.0,0.0
1647,0,5900000,20300000,4,806,300000.0,3700000,16400000,4800000,20400000,5900000.0,3.4406773829360366,0.995097990436373,4060000.0,1.0,0.0
4207,0,2100000,8300000,20,765,5700000.0,3600000,7700000,2100000,11200000,2100000.0,3.952379070295681,0.7410713624043427,395238.09523809527,1.0,1.0
2789,0,2600000,9900000,20,368,3600000.0,1500000,5200000,2000000,10300000,2600000.0,3.8076908431958296,0.9611649552267034,471428.5714285714,1.0,1.0
2155,0,3400000,10800000,6,439,5300000.0,1400000,11600000,1900000,18300000,3400000.0,3.1764696539795136,0.5901639021768359,1542857.142857143,1.0,0.0
1050,0,1000000,3800000,8,553,2500000.0,1000000,2100000,1300000,5600000,1000000.0,3.7999962000038,0.6785713073979808,422222.22222222225,0.0,1.0
3838,2,2600000,7600000,10,400,6800000.0,2800000,10100000,3200000,19700000,866666.6666666666,2.9230757988170004,0.38578678244737147,690909.0909090909,1.0,1.0
909,4,3500000,10200000,12,333,7600000.0,6400000,8100000,3400000,22100000,700000.0,2.914284881632891,0.4615384406543692,784615.3846153846,1.0,0.0
749,4,2700000,10200000,4,528,7800000.0,2200000,10000000,1600000,20000000,540000.0,3.777776378601341,0.5099999745000012,2040000.0,0.0,0.0
1845,2,8000000,28400000,10,607,11400000.0,3800000,29000000,11600000,44200000,2666666.6666666665,3.5499995562500555,0.6425339221146171,2581818.1818181816,0.0,1.0
264,5,9500000,22200000,20,352,24500000.0,0,30800000,7000000,55300000,1583333.3333333333,2.3368418592798044,0.40144664735177854,1057142.857142857,1.0,0.0
2395,2,4700000,13700000,6,506,1300000.0,7900000,16700000,3500000,25900000,1566666.6666666667,2.914892996831277,0.5289575085344591,1957142.857142857,1.0,1.0
38,5,8000000,27200000,6,348,6400000.0,300000,16700000,7100000,23400000,1333333.3333333333,3.399999575000053,1.162393112718243,3885714.285714286,0.0,1.0
2578,1,4900000,16500000,12,439,7500000.0,1400000,10300000,7200000,19200000,2450000.0,3.3673462515619894,0.8593749552408877,1269230.7692307692,0.0,1.0
687,0,3000000,8400000,10,361,7700000.0,200000,7300000,1800000,15200000,3000000.0,2.799999066666978,0.5526315425900301,763636.3636363636,0.0,0.0
2814,2,6600000,22800000,8,490,6100000.0,10000000,18000000,6400000,34100000,2200000.0,3.454544931129556,0.6686216812720914,2533333.3333333335,1.0,1.0
3213,2,5100000,16500000,12,845,12100000.0,9000000,11400000,5700000,32500000,1700000.0,3.235293483275788,0.5076922920710064,1269230.7692307692,0.0,0.0
2848,0,5200000,19000000,14,687,11900000.0,500000,19400000,4400000,31800000,5200000.0,3.653845451183567,0.5974842579407466,1266666.6666666667,0.0,0.0
2234,1,7500000,21400000,20,655,13000000.0,10300000,28100000,8100000,51400000,3750000.0,2.8533329528889397,0.4163424043513151,1019047.619047619,0.0,1.0
2242,1,1100000,3800000,8,779,600000.0,1800000,4000000,1600000,6400000,550000.0,3.454542314052442,0.593749907226577,422222.22222222225,1.0,1.0
2427,2,8400000,23200000,16,476,15200000.0,5400000,18700000,8600000,39300000,2800000.0,2.761904433106615,0.590330773782932,1364705.8823529412,1.0,0.0
538,1,5900000,15200000,2,547,17100000.0,2000000,14700000,3600000,33800000,2950000.0,2.576270749784619,0.44970412870697846,5066666.666666667,0.0,0.0
1965,3,3800000,11800000,4,694,0.0,500000,8300000,5100000,8800000,950000.0,3.1052623407204365,1.3409089385330752,2360000.0,0.0,0.0
2456,1,8400000,19700000,6,476,24700000.0,16500000,31800000,12100000,73000000,4200000.0,2.345237816043117,0.26986301000187657,2814285.714285714,0.0,1.0
1907,3,7800000,21100000,12,717,1200000.0,10700000,19900000,6200000,31800000,1950000.0,2.705127858316941,0.663521991713145,1623076.923076923,1.0,0.0
3107,0,5600000,11600000,12,466,15000000.0,7400000,21800000,7500000,44200000,5600000.0,2.0714282015306784,0.26244343297639294,892307.6923076923,0.0,0.0
348,1,7100000,23500000,12,768,6400000.0,12100000,22400000,7300000,40900000,3550000.0,3.309858688752297,0.5745721130911464,1807692.3076923077,1.0,0.0
4232,5,3300000,9100000,18,697,8800000.0,1800000,11300000,2600000,21900000,550000.0,2.7575749219469934,0.4155250951815025,478947.36842105264,0.0,0.0
521,3,7200000,21200000,4,711,10800000.0,4200000,24900000,5700000,39900000,1800000.0,2.944444035493884,0.5313283074855061,4240000.0,1.0,0.0
1732,2,6400000,16900000,16,472,11100000.0,6000000,16300000,4500000,33400000,2133333.3333333335,2.6406245874024084,0.5059880088027542,994117.6470588235,0.0,0.0
2287,4,7100000,27200000,16,824,2400000.0,8000000,22400000,3900000,32800000,1420000.0,3.8309853759175527,0.8292682674003578,1600000.0,0.0,0.0
2620,3,2700000,10800000,6,480,4400000.0,0,10300000,3500000,14700000,675000.0,3.9999985185190674,0.7346938275718484,1542857.142857143,1.0,0.0
3276,0,9100000,21100000,20,578,5900000.0,6200000,33700000,5600000,45800000,9100000.0,2.318681063881202,0.46069867989740876,1004761.9047619047,0.0,0.0
2798,2,4600000,16000000,4,720,0.0,4000000,12300000,4200000,16300000,1533333.3333333333,3.4782601134217144,0.9815950318039858,3200000.0,1.0,1.0
364,3,6800000,26900000,16,818,14700000.0,10400000,26300000,7300000,51400000,1700000.0,3.955881771193857,0.5233462933201111,1582352.9411764706,1.0,1.0
2339,5,6100000,20700000,20,482,9400000.0,2000000,16900000,5900000,28300000,1016666.6666666666,3.3934420666488414,0.7314487374046382,985714.2857142857,0.0,0.0
412,1,3500000,7200000,2,865,4100000.0,3200000,11900000,4200000,19200000,1750000.0,2.057142269387923,0.374999980468751,2400000.0,0.0,1.0
2147,3,7400000,23400000,16,700,19300000.0,3000000,20700000,8900000,43000000,1850000.0,3.162161734843009,0.5441860338561387,1376470.5882352942,1.0,0.0
1644,2,1900000,6800000,6,892,2600000.0,2200000,6400000,900000,11200000,633333.3333333334,3.5789454847655344,0.6071428029336783,971428.5714285715,1.0,1.0
2107,5,9000000,18000000,18,509,24600000.0,5200000,20000000,6100000,49800000,1500000.0,1.9999997777778025,0.3614457758745828,947368.4210526316,0.0,0.0
1372,0,6000000,15300000,8,709,8900000.0,1700000,16400000,3500000,27000000,6000000.0,2.549999575000071,0.5666666456790131,1700000.0,1.0,0.0
3427,1,8700000,30000000,12,543,21900000.0,12700000,30600000,12700000,65200000,4350000.0,3.4482754657154637,0.46012269232940656,2307692.3076923075,0.0,1.0
2593,2,3300000,11700000,14,439,4000000.0,6300000,8300000,1700000,18600000,1100000.0,3.5454534710747057,0.6290322242455794,780000.0,1.0,0.0
1804,2,5500000,21700000,2,309,11800000.0,1000000,21600000,7600000,34400000,1833333.3333333333,3.945453828099304,0.6308139351507577,7233333.333333333,0.0,1.0
1919,5,3700000,14000000,2,469,3800000.0,600000,8000000,2800000,12400000,616666.6666666666,3.7837827611397943,1.1290321670135348,4666666.666666667,0.0,0.0
1561,5,2500000,9600000,6,345,1900000.0,1900000,6800000,2600000,10600000,416666.6666666667,3.8399984640006144,0.9056602919188403,1371428.5714285714,1.0,1.0
1969,2,1700000,5300000,20,761,2500000.0,500000,3700000,1200000,6700000,566666.6666666666,3.1176452249145736,0.7910446580530361,252380.95238095237,1.0,0.0
287,5,3000000,11800000,10,672,8700000.0,3600000,9800000,4100000,22100000,500000.0,3.9333320222226593,0.533936627423682,1072727.2727272727,0.0,1.0
3230,5,3000000,7600000,6,413,2300000.0,3500000,11400000,1700000,17200000,500000.0,2.53333248888917,0.44186043942671865,1085714.2857142857,1.0,0.0
2237,0,4300000,16900000,8,884,6500000.0,5400000,12000000,3700000,23900000,4300000.0,3.9302316441321756,0.7071129411249816,1877777.7777777778,0.0,0.0
1494,0,4100000,9200000,4,671,3400000.0,6300000,10400000,4900000,20100000,4100000.0,2.243901891731246,0.4577114200143572,1840000.0,0.0,0.0
2137,2,7100000,21400000,12,699,11400000.0,13400000,22600000,4800000,47400000,2366666.6666666665,3.0140840825233686,0.4514767837241185,1646153.8461538462,0.0,0.0
183,0,2800000,9900000,8,742,4900000.0,1300000,6700000,1700000,12900000,2800000.0,3.5357130229596345,0.7674418009735038,1100000.0,1.0,0.0
2454,2,1500000,4500000,14,826,3200000.0,1700000,4600000,1600000,9500000,500000.0,2.9999980000013333,0.4736841606648252,300000.0,1.0,1.0
285,4,600000,1800000,8,417,1700000.0,700000,1800000,800000,4200000,120000.0,2.9999950000083335,0.42857132653063656,200000.0,1.0,1.0
1955,3,4900000,12700000,8,409,2000000.0,2500000,19300000,4700000,23800000,1225000.0,2.591836205747713,0.5336134229574192,1411111.111111111,1.0,1.0
4003,1,4600000,12700000,8,468,10400000.0,0,14500000,3900000,24900000,2300000.0,2.760868965028486,0.5100401401590305,1411111.111111111,0.0,0.0
1480,5,7600000,26000000,6,778,12900000.0,2400000,25500000,10900000,40800000,1266666.6666666667,3.4210521814405026,0.637254886341792,3714285.714285714,0.0,0.0
3520,5,7700000,24400000,8,453,1400000.0,7700000,22000000,10000000,31100000,1283333.3333333333,3.1688307572947068,0.7845658911715148,2711111.111111111,0.0,1.0
2000,3,3100000,6300000,18,895,2300000.0,3400000,10500000,4200000,16200000,775000.0,2.032257408949223,0.3888888648834034,331578.94736842107,1.0,1.0
2862,0,6300000,19600000,6,425,15900000.0,10400000,13300000,5900000,39600000,6300000.0,3.111110617284029,0.49494948245077064,2800000.0,1.0,0.0
2425,3,6100000,22800000,18,640,16800000.0,7300000,19600000,6000000,43700000,1525000.0,3.7377043052943764,0.5217391184956723,1200000.0,1.0,1.0
816,3,6500000,16800000,10,388,9500000.0,800000,14900000,7200000,25200000,1625000.0,2.58461498698231,0.6666666402116412,1527272.7272727273,0.0,0.0
3941,4,9300000,26100000,16,623,11700000.0,10500000,21100000,10700000,43300000,1860000.0,2.8064513111342677,0.6027713486657887,1535294.1176470588,0.0,0.0
2624,4,300000,1100000,4,315,700000.0,100000,900000,100000,1700000,60000.0,3.666654444485185,0.6470584429067983,220000.0,1.0,1.0
2721,3,5400000,14700000,4,359,12300000.0,9900000,15100000,6100000,37300000,1350000.0,2.722221718107089,0.3941018661098695,2940000.0,1.0,1.0
3991,1,1600000,4800000,14,544,2200000.0,200000,6200000,1200000,8600000,800000.0,2.999998125001172,0.5581394699837826,320000.0,1.0,1.0
376,5,1300000,5000000,10,755,2100000.0,2200000,4800000,1900000,9100000,216666.66666666666,3.8461508875762402,0.5494504890713748,454545.45454545453,1.0,1.0
944,5,1400000,2900000,4,829,800000.0,600000,5400000,1600000,6800000,233333.33333333334,2.0714270918377915,0.42647052551904036,580000.0,0.0,0.0
1906,1,8700000,33900000,10,766,16300000.0,700000,19500000,9000000,36500000,4350000.0,3.896551276258474,0.9287670978419973,3081818.1818181816,0.0,1.0
442,5,9600000,32400000,2,897,3500000.0,15400000,26800000,6200000,45700000,1600000.0,3.3749996484375364,0.7089715380969028,10800000.0,0.0,1.0
1575,4,2800000,10000000,12,655,4900000.0,3600000,8500000,3300000,17000000,560000.0,3.5714272959188227,0.588235259515573,769230.7692307692,1.0,1.0
1475,4,1300000,4100000,18,886,2800000.0,500000,3800000,600000,7100000,260000.0,3.153843727812517,0.577464707399337,215789.47368421053,1.0,0.0
170,0,4800000,17500000,2,371,11700000.0,6800000,18700000,3500000,37200000,4800000.0,3.6458325737848805,0.4704300948809114,5833333.333333333,1.0,1.0
269,0,5400000,16800000,10,599,5300000.0,7400000,14500000,7600000,27200000,5400000.0,3.1111105349795305,0.6176470361159178,1527272.7272727273,1.0,0.0
611,3,8100000,23900000,10,449,7100000.0,6100000,28300000,8900000,41500000,2025000.0,2.9506169196769236,0.5759036005806362,2172727.272727273,0.0,0.0
537,2,3700000,14100000,6,633,800000.0,200000,11300000,3400000,12300000,1233333.3333333333,3.8108097808622214,1.1463413702161487,2014285.7142857143,1.0,0.0
1107,3,8200000,28900000,10,668,23800000.0,4500000,28700000,10900000,57000000,2050000.0,3.5243898140988033,0.5070175349646047,2627272.727272727,0.0,1.0
441,3,4700000,16700000,12,775,4000000.0,1700000,17300000,3500000,23000000,1175000.0,3.5531907333636736,0.7260869249527424,1284615.3846153845,1.0,0.0
3260,4,6400000,14800000,6,537,2300000.0,3700000,18600000,6500000,24600000,1280000.0,2.3124996386719316,0.6016259918038215,2114285.714285714,1.0,0.0
1497,3,2500000,7700000,16,485,2000000.0,3600000,5600000,3200000,11200000,625000.0,3.0799987680004928,0.6874999386160769,452941.17647058825,1.0,1.0
4028,1,9100000,24000000,20,353,25100000.0,9200000,26100000,10900000,60400000,4550000.0,2.637362347542599,0.39735098679882475,1142857.142857143,1.0,0.0
1345,0,9500000,34900000,4,535,800000.0,14100000,25600000,14000000,40500000,9500000.0,3.6736838238227554,0.8617283737844846,6980000.0,1.0,1.0
3824,2,5500000,12000000,2,567,7200000.0,4700000,11500000,7000000,23400000,1833333.3333333333,2.1818177851240392,0.5128204909051072,4000000.0,0.0,1.0
952,5,1100000,2500000,4,827,2400000.0,1000000,4100000,600000,7500000,183333.33333333334,2.2727252066134485,0.3333332888888948,500000.0,1.0,0.0
1082,1,4800000,11600000,16,696,1400000.0,9400000,11800000,6500000,22600000,2400000.0,2.416666163194549,0.513274313571933,682352.9411764706,1.0,1.0
82,0,8800000,31200000,4,826,2900000.0,500000,33300000,8600000,36700000,8800000.0,3.545454142562029,0.8501362166175418,6240000.0,1.0,0.0
2674,1,6300000,23900000,4,742,1500000.0,7100000,21800000,4300000,30400000,3150000.0,3.7936501914840965,0.786184184664994,4780000.0,1.0,0.0
477,4,4100000,13500000,18,490,4700000.0,6200000,13900000,2000000,24800000,820000.0,3.2926821237360673,0.5443548167598864,710526.3157894737,1.0,0.0
3998,4,6900000,16500000,8,426,3900000.0,5200000,18300000,9000000,27400000,1380000.0,2.3913040012602895,0.6021897590441694,1833333.3333333333,0.0,0.0
1109,4,8100000,19000000,6,375,4100000.0,14500000,19100000,11900000,37700000,1620000.0,2.3456787227557134,0.5039787664727118,2714285.714285714,0.0,0.0
